source_country,target_country,avg_tone,positive_ratio,article_count,source
Brazil,Vietnam,-1.9452,18.72,219,api
Brazil,Malaysia,-1.3143,31.43,70,api
Brazil,Colombia,-0.7945,33.51,579,api
Brazil,South Africa,-0.9863,32.19,146,api
Brazil,Bangladesh,-1.25,25.0,4,api
Brazil,Philippines,-2.5664,25.66,113,api
Brazil,Israel,-2.3284,20.9,134,api
Brazil,Sweden,-1.6111,26.54,162,api
Brazil,Norway,-0.2585,39.83,236,api
Brazil,Denmark,-1.2704,22.45,196,api
Brazil,Finland,-1.2407,29.63,108,api
Brazil,Portugal,-0.1966,42.37,819,api
Brazil,Greece,-0.8059,36.47,170,api
Brazil,Belgium,-0.7716,36.42,162,api
Brazil,Czech Republic,0.2609,43.48,46,api
Brazil,Romania,-1.1622,29.73,37,api
Brazil,Hungary,-0.7987,33.12,154,api
Brazil,Chile,-2.1364,15.91,44,api
Brazil,Peru,-2.16,16.0,25,api
Brazil,New Zealand,-0.6897,37.93,29,api
Brazil,Iraq,-3.7428,1.44,556,api
Brazil,Qatar,-3.2901,9.92,131,api
Brazil,Singapore,-0.7838,29.73,185,api
Canada,United States,-1.1224,30.17,7938,api
Canada,China,-0.1379,42.54,2734,api
Canada,Russia,-2.3078,13.68,1111,api
Canada,Germany,-0.4359,40.38,1491,api
Canada,France,-1.0499,34.13,1922,api
Canada,United Kingdom,-1.2787,28.19,1245,api
Canada,Japan,0.224,51.58,1107,api
Canada,India,-1.2136,28.29,1011,api
Canada,Brazil,0.4432,54.02,361,api
Canada,Canada,-0.3263,40.39,22992,api
Canada,Italy,0.5657,58.04,1902,api
Canada,South Korea,-0.483,41.52,501,api
Canada,Australia,-0.3616,39.48,1297,api
Canada,Spain,-0.7895,37.09,399,api
Canada,Mexico,-1.4055,26.15,1778,api
Canada,Indonesia,-1.5303,24.24,132,api
Canada,Netherlands,-0.15,49.38,320,api
Canada,Turkey,-1.4812,32.59,451,api
Canada,Saudi Arabia,-2.71,10.8,500,api
Canada,Argentina,-0.2385,51.38,218,api
Canada,Poland,-0.4541,47.03,185,api
Canada,Egypt,-1.7232,26.2,271,api
Canada,Thailand,1.3054,66.5,203,api
Canada,Pakistan,-3.5088,13.27,226,api
Canada,Nigeria,-0.8766,44.81,154,api
Canada,Ukraine,-2.1756,17.06,1008,api
Canada,Vietnam,-0.4573,42.66,293,api
Canada,Malaysia,0.823,47.79,113,api
Canada,Colombia,-1.2128,39.36,282,api
Canada,South Africa,0.4274,52.23,358,api
Canada,Bangladesh,-1.1029,27.94,68,api
Canada,Philippines,-0.125,44.64,112,api
Canada,Israel,-2.9112,8.47,1712,api
Canada,Sweden,-0.4775,37.32,844,api
Canada,Norway,-0.4472,36.43,398,api
Canada,Denmark,-0.0331,41.1,635,api
Canada,Finland,0.5954,55.14,865,api
Canada,Portugal,1.0379,66.67,132,api
Canada,Greece,-1.2143,35.0,140,api
Canada,Belgium,0.2229,50.6,166,api
Canada,Czech Republic,-0.8721,27.33,172,api
Canada,Romania,-0.8226,38.71,62,api
Canada,Hungary,-2.2174,15.22,92,api
Canada,Chile,0.5366,60.16,246,api
Canada,Peru,-0.4148,44.89,176,api
Canada,New Zealand,0.2872,48.11,397,api
Canada,Iraq,-3.3394,4.28,607,api
Canada,Qatar,-2.9439,9.12,570,api
Canada,Singapore,-0.0766,41.63,209,api
Italy,United States,-1.5603,26.42,13838,api
Italy,China,-0.5001,38.01,4165,api
Italy,Russia,-3.1583,8.33,120,api
Italy,Germany,-0.5218,39.39,4245,api
Italy,France,-0.8782,38.67,5206,api
Italy,United Kingdom,-1.416,28.64,4082,api
Italy,Japan,0.3996,47.59,1679,api
Italy,India,-0.4175,40.42,673,api
Italy,Brazil,0.3203,52.81,1102,api
Italy,Canada,-0.5794,44.61,1650,api
Italy,Italy,-0.131,46.04,43565,api
Italy,South Korea,-2.1357,33.57,140,api
Italy,Australia,-0.2189,39.59,1220,api
Italy,Spain,-0.7457,39.54,3075,api
Italy,Mexico,-1.2777,34.66,958,api
Italy,Indonesia,0.0906,46.31,298,api
Italy,Netherlands,-0.2823,45.65,379,api
Italy,Turkey,-1.3893,28.53,1472,api
Italy,Saudi Arabia,-2.4555,15.68,472,api
Italy,Argentina,0.2599,50.46,985,api
Italy,Poland,-0.1557,41.63,944,api
Italy,Iran,-3.36,8.6,6722,api
Italy,Egypt,-0.8779,32.82,655,api
Italy,Thailand,0.0723,49.74,567,api
Italy,Pakistan,-5.0896,7.23,346,api
Italy,Nigeria,-2.1,50.0,10,api
